식품코드,식품명,지역 / 제조사,식품상세분류,단백질(g),포도당(g),과당(g),유당(g),갈락토오스(g),셀룰로오스,칼슘,철,칼륨,나트륨,아연,구리,망간,비타민 A,비타민 D2,비타민 D3,비타민 E,토코페롤,비타민 K,비타민 K1,비타민 K2,비타민 B1,비타민 B2,비타민 B6,비타민 B12,비타민 C,오메가 3 지방산(g),오메가 6 지방산(g),트랜스 지방산(g),카페인
D000006,꿩불고기,충주,육류구이,33.5,2.8,2.8,0.7,0,0,105.61,0,1243.12,1264.31,3.99,0.32,0.68,0,0,0,0,8.73,0,0,0,0,0.33,0,0,2.99,0,0,0.1,0
D000007,닭갈비,전국(대표),육류구이,45.9,5.9,4.8,0,0,0,98.64,0,1200.24,1535.83,3.55,0.34,0.97,0,0,0,0,6.82,0,0,0,0.24,0.37,0,1.12,5.54,0,0,0.2,0
D000008,닭갈비,춘천,육류구이,45.5,3.2,3.2,0,0,0,63.06,0,818.11,1016.94,3.59,0.24,0.41,0,0,0,0,3.58,0,0,0,0.22,0.38,0,0,0,0,0,0.3,0
D000009,닭꼬치,전국(대표),육류구이,11.562,0.817,1.64,0,0,0,17.675,0,152.663,286.911,0,0,0,0,0,0,0,0,0,0,0,0.226,0.184,0,0,0,0,0,0.044,0
D000010,더덕구이,전국(대표),채소류구이,3.1,2.7,1.5,0,0,0,46.42,0,262.44,743.37,0.59,0.13,0.42,0,0,0,0,3.89,0,0,0,0.23,0.08,0,0,1.34,0,0,0,0
D000011,도미구이,전국(대표),어패류구이,61.1,0,0,0,0,0,158.8,0,1108.02,1582.17,1.45,0.06,0.06,0,0,0,0,3.76,0,0,0,0.1,0.27,0,7.45,0.84,0,0,0.1,0
D000012,돼지갈비,서울특별시 마포구,육류구이,19.5,0.6,0.6,0,0,0,47.21,0,280.71,404.66,2.75,0.07,0.1,0,0,0,0,0.61,0,0,0,0.31,0.14,0,0,0,0,0,0.1,0
D000015,병어구이,전국(대표),어패류구이,54.6,0,0,0,0,0,80.44,0,984.65,1567.94,1.91,0.06,0.07,0,0,0,0,3.72,0,0,0,0.12,0.21,0,7.73,1.41,0,0,0.2,0
D000016,불고기,광양,육류구이,34.4,0.3,0.3,0,0,0,12.31,0,580.55,560.71,9.74,2.06,0.1,0,0,0,0,2.7,0,0,0,0.08,0.24,0,0,0,0,0,0.4,0
D000017,붕장어소금구이,고흥,어패류구이,26,0,0.3,0,0,0,164.09,0,544.71,124.75,1.44,0.03,0.15,0,0,0,0,3.46,0,0,0,0,0.11,0,0,0,0,0,0.2,0
D000020,소양념갈비구이,전국(대표),육류구이,60.1,1.8,3.5,0,0,0,85.27,0,632.12,1378.45,19.04,0.23,0.22,0,0,0,0,2.05,0,0,0,0.25,0.37,0,8.2,0.27,0,0,3.5,0
D000021,양념왕갈비,수원,육류구이,27.1,0,0.4,0,0,0,31.21,0,283.01,548.76,8.26,0.11,0.07,0,0,0,0,1.04,0,0,0,0,0.1,0,0,0,0,0,2.2,0
D000022,양념장어구이,전국(대표),어패류구이,30.771,1.043,1.498,0,0,0,215.4,0,415.974,704.637,0,0,0,0,0,0,0,0,0,0,0,0.463,0.676,0,0,0.186,0,0,0.269,0
D000023,임연수구이,전국(대표),어패류구이,53.8,0,0,0,0,0,267.44,0,959.35,1568.96,1.66,0.18,0.09,0,0,0,0,5.51,0,0,0,0.15,0.54,0,18.23,0.69,0,0,1.7,0
D000024,짚불구이곰장어,기장,어패류구이,42.7,0.2,1,0,0,0,29.52,0,641.05,826.79,4.14,0.63,1.17,0,0,0,0,2.2,0,0,0,0,0.8,0,0,1.6,0,0,0.1,0
D000025,햄버그스테이크,전국(대표),육류구이,26.959,1.375,2.112,0,0,0,82.506,0,553.919,950.22,2.97,0.24,0.48,0,0,0,0,2.64,0,0,0,0.616,0.257,0,0,2.769,0,0,0.315,0
D000026,황태구이,전국(대표),어패류구이,47.8,2.9,2.3,0,0,0,280.1,0,621.65,1135.33,1.81,0.19,0.38,0,0,0,0,10.46,0,0,0,0.06,0.18,0,3.68,0,0,0,0.1,0
D000027,훈제오리,전국(대표),육류구이,43.058,0,0.255,0,0,0,38.49,0,496.431,1220.367,4.23,0.63,0.12,0,0,0,0,1.47,0,0,0,0.601,0.601,0,0,47.709,0,0,0.39,0
D000028,게국지,태안,어패류국.탕,44.9,5,4.1,0,0,0,1320.57,0,1581.61,4047.26,11.03,4.27,2.74,0,0,0,0,13.07,0,0,0,0,0.62,0,0,0,0,0,0.2,0
D000029,곰치국,삼척,어패류국.탕,54.3,0.9,1.8,0,0,0,711.95,0,1352.68,3802.06,4.15,0.69,0.93,0,0,0,0,9.06,0,0,0,0.51,0.51,0,0,1.96,0,0,0.1,0
D000030,굴국밥,전국(대표),어패류국.탕,42.4,0,0.2,0,0,0,194.25,0,529.35,1635.39,31.14,7.65,1.83,0,0,0,0,8.81,0,0,0,0.32,0.61,0,0.61,0,0,0,0.1,0
D000032,김치국,전국(대표),채소류국.탕,5.4,1.1,1.2,0,0,0,113.75,0,516.39,1642.08,0.73,0.14,0.45,0,0,0,0,2.27,0,0,0,0.28,0.15,0,0.15,1.78,0,0,0,0
D000036,떡만둣국,전국(대표),기타 국 및 탕류,20.055,0.013,0.145,0,0,0,99.72,0,369.913,1980.19,0,0,0,0,0,0,0,0,0,0,0,0.601,1.034,0,0,0,0,0,0.077,0
D000037,만둣국,전국(대표),기타 국 및 탕류,21.429,0.529,1.868,0,0,0,123.608,0,509.553,2367.993,0,0,0,0,0,0,0,0,0,0,0,1.307,0.698,0,0,0,0,0,0.051,0
D000038,맑은감자국,전국(대표),채소류국.탕,8.3,2,2.4,0,0,0,115.56,0,1138.53,1712.29,1.31,0.27,0.5,0,0,0,0,0.63,0,0,0,0.55,0.15,0,1.46,7.24,0,0,0,0
D000039,매생이국,장흥,어패류국.탕,10,0,0,0,0,0,125.77,0,330.05,1420.3,4.81,0.22,0.39,0,0,0,0,1.68,0,0,0,0.18,0.14,0,0,3.01,0,0,0.1,0
D000040,무된장국,전국(대표),채소류국.탕,6.1,3.4,2.3,0,0,0,90.18,0,553.06,1741.46,0.81,0.17,0.49,0,0,0,0,2.04,0,0,0,0.22,0.12,0,0.12,0,0,0,0,0
D000041,미소된장국,전국(대표),채소류국.탕,2.8,0.5,0.1,0,0,0,27.34,0,88.07,517.03,0.33,0.06,0.18,0,0,0,0,1.07,0,0,0,0.07,0.03,0,0.03,0.58,0,0,0,0
D000044,바지락조개국,전국(대표),어패류국.탕,22,0.6,0.7,0,0,0,369.14,0,394.16,1596.17,2.6,0.27,1.58,0,0,0,0,2.74,0,0,0,0.04,0.17,0,41.75,0.55,0,0,0,0
D000046,뼈다귀해장국,전국(대표),육류국.탕,74.6,2.5,2.2,0,0,0,670.27,0,1199.28,3088.21,11.27,0.66,1.16,0,0,0,0,6.82,0,0,0,1.24,0.92,0,0.51,19.87,0,0,0.1,0
D000047,선지해장국,전국(대표),육류국.탕,49.3,2,1.6,0,0,0,206.72,0,641.53,3074.53,2.97,0.44,1.25,0,0,0,0,3.8,0,0,0,0.72,0.32,0,0.69,10.02,0,0,0.1,0
D000049,소고기무국,전국(대표),육류국.탕,14.2,1.7,1.6,0,0,0,59.21,0,336.96,1067.02,3.05,0.06,0.25,0,0,0,0,0.79,0,0,0,0.09,0.07,0,1.8,0,0,0,0.1,0
D000050,소고기미역국,전국(대표),육류국.탕,18.1,0,0,0,0,0,149.32,0,204.8,1908.91,3.96,0.12,0.12,0,0,0,0,0.73,0,0,0,0.12,0.15,0,2.8,0,0,0,0.1,0
D000052,순대국,전국(대표),육류국.탕,43.523,0,0,0,0,0,105.319,0,456.625,1504.043,0,0,0,0,0,0,0,0,0,0,0,0.483,0.822,0,0,0,0,0,0.16,0
D000054,시래기된장국,전국(대표),채소류국.탕,6.7,1,0.3,0,0,0,213.27,0,329.45,1523.66,0.92,0.18,1.32,0,0,0,0,4.16,0,0,0,0.3,0.1,0,0.1,0,0,0,0,0
D000060,올갱이국,괴산,어패류국.탕,13.7,0.9,0.7,0,0,0,391.17,0,599.01,2017.16,2.46,1.15,4.09,0,0,0,0,4.41,0,0,0,0,0.13,0,0,0,0,0,0,0
D000062,우거지해장국,전국(대표),채소류국.탕,11.9,1.9,0.6,0,0,0,198.55,0,561.3,2049.59,1.64,0.31,0.93,0,0,0,0,4.64,0,0,0,0.17,0.13,0,2.29,0,0,0,0,0
D000063,우렁된장국,전국(대표),어패류국.탕,24.6,1.9,1.2,0,0,0,656.62,0,599.9,2134.21,2.54,1.91,1.53,0,0,0,0,8.23,0,0,0,0.23,0.14,0,1.65,0.19,0,0,0,0
D000064,탕국,전국(대표),어패류국.탕,13.181,0,0.078,0,0,0,76.468,0,235.594,656.75,2.67,0.07,0.36,0,0,0,0,2.29,0,0,0,0.11,0.177,0,0,0,0,0,0.069,0
D000066,홍합미역국,전국(대표),어패류국.탕,19.7,0,0,0,0,0,227.69,0,246.29,2043.68,3.09,0.22,0.69,0,0,0,0,2.54,0,0,0,0.12,0.31,0,15.02,1.44,0,0,0,0
D000067,황태해장국,전국(대표),어패류국.탕,24.5,0.5,0.9,0,0,0,164.63,0,503,1533.09,1.3,0.15,0.4,0,0,0,0,3.66,0,0,0,0.06,0.13,0,2.76,0,0,0,0,0
D000068,고추잡채,전국(대표),기타 볶음류,10.994,0.987,1.093,0,0,0,32.842,0,269.217,828.545,0,0,0,0,0,0,0,0,0,0,0,0.163,0.193,0,0,8.877,0,0,0.075,0
D000070,난자완스,전국(대표),육류볶음,21.627,0,0.495,0,0,0,33.731,0,315.761,703.234,0,0,0,0,0,0,0,0,0,0,0,0.193,0.467,0,0,0,0,0,0.235,0
D000071,도토리묵말이,대전,기타,6.8,0.1,0.8,0,0,0,164.34,0,521.96,3206.03,1.2,0.25,1.05,0,0,0,0,15.14,0,0,0,0,0.08,0,0,0,0,0,0,0
D000072,라조기,전국(대표),육류튀김,20.659,0,0.144,0,0,0,72.169,0,320.319,648.516,0,0,0,0,0,0,0,0,0,0,0,0.076,0.449,0,0,0,0,0,0.155,0
D000074,물회,포항,회류,34.4,8.7,4.8,0,0,0,212.11,0,1119.8,2095.9,2.17,0.23,0.7,0,0,0,0,8.14,0,0,0,0.42,0.22,0,0,3.04,0,0,0.1,0
D000075,생선물회,전국(대표),회류,34.3,21.7,16.5,0,0,0,185.95,0,1212.76,2779.74,1.8,0.42,1.09,0,0,0,0,6.84,0,0,0,0.16,0.2,0,4.31,16.04,0,0,0,0
D000076,소고기샤브샤브,전국(대표),육류찌개.전골,29.1,0.6,0.8,0,0,0,95.99,0,663.21,1122.4,8.32,0.23,0.43,0,0,0,0,2.94,0,0,0,0.24,0.22,0,0,0,0,0,0.3,0
D000079,오징어순대,속초,어패류찜,45.7,0,0.4,0,0,0,78.43,0,697.11,1258.71,4.45,0.79,0.9,0,0,0,0,2.63,0,0,0,0,0.05,0,0,0,0,0,0,0
D000081,초당순두부,강릉,채소류국.탕,49.1,0,0.9,0,0,0,333.22,0,1042.22,1203.36,5.51,1.14,3.75,0,0,0,0,16.14,0,0,0,0.09,0.15,0,0,0,0,0,0,0
D000085,해파리냉채,전국(대표),어패류무침,6.2,4.1,4.4,0,0,0,44.36,0,113.4,508.77,0.44,0.11,0.09,0,0,0,0,0.56,0,0,0,0.1,0.04,0,0.34,0.09,0,0,0,0
D000087,고들빼기,전국(대표),김치,1.58,0.714,0.536,0,0,0,25.643,0,125.555,742.429,0.22,0.08,0.21,0,0,0,0,1.3,0,0,0,0.044,0.064,0,0,0,0,0,0,0
D000097,열무얼갈이김치,전국(대표),김치,1.074,0.251,0.201,0,0,0,39.421,0,154.224,339.903,0.2,0.05,0.11,0,0,0,0,0.73,0,0,0,0.07,0.054,0,0,0,0,0,0,0
D000105,미나리나물,전국(대표),나물.숙채류,1.016,0,0,0,0,0,38.841,0,119.16,150.33,0.14,0.03,0.48,0,0,0,0,1.35,0,0,0,0,0.035,0,0,0,0,0,0.011,0
D000109,취나물,전국(대표),나물.숙채류,1.375,0,0,0,0,0,74.623,0,63.591,281.857,0.26,0.06,0.62,0,0,0,0,2.14,0,0,0,0,0.028,0,0,0.315,0,0,0.026,0
D000110,콩나물,전국(대표),나물.숙채류,1.68,0,0.02,0,0,0,18.497,0,40.572,213.95,0.15,0.03,0.15,0,0,0,0,1.84,0,0,0,0,0.029,0,0,0,0,0,0.009,0
D000112,경단(깨),전국(대표),떡류,4.442,0.392,0.208,0,0,0,62.254,0,50.617,180.002,1.09,0.2,0.4,0,0,0,0,0.82,0,0,0,0,0.007,0,0,0,0,0,0.002,0
D000113,경단(콩),전국(대표),떡류,3.513,0.554,0.164,0,0,0,10.406,0,69.379,225.828,0.6,0.08,0.29,0,0,0,0,0.55,0,0,0,0,0.015,0,0,0,0,0,0,0
D000114,기피편,전국(대표),떡류,5.449,0,1.206,0,0,0,12.327,0,130.988,281.057,0.77,0.13,0.41,0,0,0,0,1.12,0,0,0,0.049,0,0,0,0,0,0,0,0
D000116,녹두시루떡,전국(대표),떡류,7.738,0.334,1.829,0,0,0,25.807,0,250.863,263.663,1.02,0.17,0.64,0,0,0,0,1.93,0,0,0,0.133,0.024,0,0,0,0,0,0.002,0
D000117,메밀전병,전국(대표),곡류 및 서류,6.185,0,0.406,0,0,0,35.636,0,159.144,345.805,0.86,0.08,0.37,0,0,0,0,1.61,0,0,0,0.117,0.034,0,0,1.71,0,0,0.044,0
